Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline smote,ANN,0.8519058023792182,0.8294626571219503,0.8566322017449298,0.8380707488566662
ANN Percobaan normalisasi Smote,ANN,0.870721048798252,0.84946796480323,0.8688014639095633,0.8549820986708465
ANN Percobaan pca 7 Smote,ANN,0.7828356397183782,0.7698410988382641,0.7980325679093039,0.7720285422140947
ANN Percobaan pca 6 smote,ANN,0.7801650886137412,0.7675384761380369,0.7912298104061483,0.7680189040964628
ANN Percobaan baseline smote,ANN,0.813667912439936,0.7926247728603398,0.82473147733161,0.8005653886807476
ANN Percobaan normalisasi Smote,ANN,0.8311087382096458,0.8093358848300595,0.840823413775569,0.8169915652270336
ANN Percobaan pca 8 Smote,ANN,0.805303434774871,0.7870722658306094,0.8154850414872596,0.7911621865110867
ANN Percobaan pca 7 Smote,ANN,0.7705997508453462,0.7572129827718237,0.7840753236642365,0.7586649988328306
ANN Percobaan pca 6 smote,ANN,0.7600996618615412,0.7428577917428587,0.7637748919551163,0.7443556708181246
ANN Percobaan pca 5 smote,ANN,0.6711158569140416,0.6650046723647454,0.6975930373918402,0.6678491201229555
