Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble SMOTE,Bagging,0.9921511071405782,0.992157842626602,0.9921815132215372,0.992168112880472
Baseline Performa Ensemble SMOTE,AdaBoost,0.4696573288239423,0.4836751530925299,0.470937547214327,0.4655970800813548
Baseline Performa Ensemble SMOTE,GradientBoosting,0.8005870716610299,0.8036964941409842,0.801442393008448,0.8000044588216395
Baseline Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9944483440750432,0.9944449870975636,0.9944767996762426,0.994455576112848
Baseline Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9949588411715908,0.9949785063673774,0.9949711045352844,0.994972866936532
Baseline Normalization Performa Ensemble SMOTE,Bagging,0.9921511071405782,0.9921588775546536,0.9921787372515788,0.9921669934246398
Baseline Normalization Performa Ensemble SMOTE,AdaBoost,0.4696573288239423,0.4836751530925299,0.470937547214327,0.4655970800813548
Baseline Normalization Performa Ensemble SMOTE,GradientBoosting,0.8009699444834407,0.8043546722112112,0.8018054240801202,0.8004418226809218
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9943845319379746,0.9943899082630292,0.9944152283347918,0.9943969168662616
Baseline Normalization Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9952140897198648,0.9952419990153814,0.9952251308983124,0.9952324103162706
PCA 7 Performa Ensemble SMOTE,Bagging,0.9791334311786102,0.979148283134521,0.9792413353850188,0.9791686426030975
PCA 7 Performa Ensemble SMOTE,AdaBoost,0.428115627592368,0.4315467334360427,0.4289445918117292,0.4252293627963993
PCA 7 Performa Ensemble SMOTE,GradientBoosting,0.6716227426456512,0.6766181243999482,0.6722700879310148,0.6714565871517357
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9840469657328824,0.9840588429257447,0.9841344954102158,0.9840756455576968
PCA 7 Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9855146448854571,0.985574503256474,0.985551530919098,0.9855616423341768
PCA 6 Performa Ensemble SMOTE,Bagging,0.9790058069044733,0.9790438771015808,0.9791231536597266,0.979057460400324
PCA 6 Performa Ensemble SMOTE,AdaBoost,0.428115627592368,0.4315467334360427,0.4289445918117292,0.4252293627963993
PCA 6 Performa Ensemble SMOTE,GradientBoosting,0.6593708123285049,0.6661772571897472,0.6600369836685538,0.6594818590273237
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9841107778699508,0.9841222151374084,0.9841961999175206,0.9841421464733848
PCA 6 Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9862803905302788,0.9863530161422632,0.9863203862057708,0.986331374064197
PCA 5 Performa Ensemble SMOTE,Bagging,0.9698806713036819,0.9699031392599711,0.9700285402008898,0.9699521273423631
PCA 5 Performa Ensemble SMOTE,AdaBoost,0.41241784187352437,0.42166897709371537,0.41334853441372665,0.4090631336956226
PCA 5 Performa Ensemble SMOTE,GradientBoosting,0.6286133622615021,0.6382710889335986,0.62950217179081,0.6283307035136431
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9761342607363921,0.9761410063161193,0.9762647495116352,0.9761804609732467
PCA 5 Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9797715525492948,0.9798538397021197,0.9798371831428161,0.9798383908244052
