Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble SMOTE,Bagging,0.9629827371418402,0.958497166994898,0.955089298475864,0.956723427159125
Baseline Performa Ensemble SMOTE,AdaBoost,0.4283680370172628,0.4145455728751046,0.3051300006165559,0.2916780421318686
Baseline Performa Ensemble SMOTE,GradientBoosting,0.7778964228510411,0.7957012316105965,0.725237441926214,0.7520914931633189
Baseline Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9597793201637302,0.9543102787140488,0.9513488623444986,0.9527921385202268
Baseline Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9681437978287952,0.9635915650580004,0.960376232217888,0.9619322623138302
Baseline Performa Ensemble smote,Bagging,0.96689802455953,0.9613177403617434,0.961742317932617,0.96147581116479
Baseline Performa Ensemble smote,AdaBoost,0.403274604022068,0.4033896432822959,0.430825090538988,0.3917343834064801
Baseline Performa Ensemble smote,GradientBoosting,0.7517351841964762,0.7287596764938058,0.769007451742877,0.7429990194916558
Baseline Performa Ensemble smote,Voting (RF+ET+DT) soft,0.9604911906033102,0.9533159283987536,0.9526406717276718,0.9529550596981446
Baseline Performa Ensemble smote,Voting (RF+ET+DT) hard,0.9688556682683752,0.9629864110040328,0.9620850140951565,0.9624991472420372
Baseline Normalization Performa Ensemble SMOTE,Bagging,0.9663641217298452,0.96090338956763,0.9612736634717164,0.9610267582697892
Baseline Normalization Performa Ensemble SMOTE,AdaBoost,0.403274604022068,0.4033896432822959,0.430825090538988,0.3917343834064801
Baseline Normalization Performa Ensemble SMOTE,GradientBoosting,0.7449724150204663,0.7213320421374335,0.7626439605000784,0.735766937334895
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9613810286527852,0.954255732848633,0.953870653551923,0.9540321289504576
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9684997330485852,0.9628159677136668,0.962050447455182,0.962402259164783
PCA 8 Performa Ensemble SMOTE,Bagging,0.9092365189535504,0.8934060999175996,0.897067595447053,0.8951694486932288
PCA 8 Performa Ensemble SMOTE,AdaBoost,0.382808328884143,0.3963837094911487,0.4272266571138869,0.3849928426983785
PCA 8 Performa Ensemble SMOTE,GradientBoosting,0.6349884321053568,0.6135136767136353,0.6518152284328773,0.6227836944739504
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.8964228510411105,0.8804116765926437,0.8811454457892193,0.8807733375093975
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9273892151628405,0.916042135894472,0.9131216838370756,0.9144382933434744
PCA 7 Performa Ensemble SMOTE,Bagging,0.8973126890905855,0.8814411853711098,0.8846930160172132,0.8829024446710427
PCA 7 Performa Ensemble SMOTE,AdaBoost,0.4107492436376579,0.3921763693786794,0.4167037048875674,0.3930815282572924
PCA 7 Performa Ensemble SMOTE,GradientBoosting,0.6186154119950169,0.5955847142602014,0.6317151222993601,0.6035477814937273
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.8784481224417157,0.8623066489412509,0.8636519688385601,0.862921593742487
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9154653852998754,0.9033586963719962,0.9000352899697799,0.9014812452062496
PCA 6 Performa Ensemble SMOTE,Bagging,0.9005161060686955,0.884169442145808,0.8903866923486993,0.8871303935576202
PCA 6 Performa Ensemble SMOTE,AdaBoost,0.3669692116034881,0.3867157584649334,0.4211114143295054,0.3691914428608244
PCA 6 Performa Ensemble SMOTE,GradientBoosting,0.6018864566648869,0.5815670689717128,0.6161321737383696,0.5879503606853252
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.8818295070297206,0.8638616682918846,0.8669608952798932,0.8653529455230583
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9161772557394554,0.9031893710949744,0.9026747380573348,0.9028222240797652
PCA 5 Performa Ensemble SMOTE,Bagging,0.8679480334579106,0.8494679095880588,0.8582438333889011,0.8536267946579705
PCA 5 Performa Ensemble SMOTE,AdaBoost,0.39597793201637305,0.3860696690969294,0.4130202195856221,0.38066637768151323
PCA 5 Performa Ensemble SMOTE,GradientBoosting,0.5794625378181171,0.5642658827114981,0.5904008992090759,0.5666602886312722
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.8457020822210358,0.8249198324001178,0.8330658072071255,0.8288395172925336
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.8861007296672005,0.8710167099183075,0.8737684905954886,0.8722038530805065
