Percobaan,Model,Accuracy_Test,Precision_Test,Recall_Test,F1-Score_Test,CV_Mean,CV_Std
Kfold CV model baseline Smote,Random Forest,0.984340859431901,0.981658316220786,0.9812084398544434,0.9814251276547832,0.9924862407274468,0.0006062056313312
Kfold CV model baseline Smote,KNN,0.960427288176742,0.950396954545765,0.9584321538591724,0.9542775415740266,0.9760070192230996,0.0015731091056068
Kfold CV model baseline Smote,Naive Bayes,0.3829813061422675,0.3945267522203496,0.4099137059552561,0.3604749977809582,0.402169578048975,0.0032984084116033
Kfold CV model baseline Smote,Decision Tree,0.9713522699684388,0.9675432462824676,0.967050361234533,0.9672813256431164,0.9790540001595278,0.0012557178689737
Kfold CV model baseline Smote,Extra Trees,0.9851905802379218,0.9831676048150954,0.9822155348478891,0.9826863103185678,0.9934753130733032,0.0005782745141705
Kfold CV model normalisasi SMote,Random Forest,0.9845836368050498,0.9821429703423692,0.9817080570779332,0.981922415653196,0.9926298157453936,0.0006741819130291
Kfold CV model normalisasi SMote,KNN,0.9543578538480214,0.9432574785016072,0.9519646499536304,0.9474549738409618,0.9713009491903964,0.0011205621331314
Kfold CV model normalisasi SMote,Naive Bayes,0.3829813061422675,0.3945267522203496,0.4099137059552561,0.3604749977809582,0.402169578048975,0.0032984084116033
Kfold CV model normalisasi SMote,Decision Tree,0.9712308812818644,0.9679118625152096,0.9670782727097972,0.9674868981865172,0.979038047379756,0.001392925258224
Kfold CV model normalisasi SMote,Extra Trees,0.9848264141781986,0.9823478532750218,0.981749500045032,0.9820388983088444,0.993602935311478,0.0006565881990031
Kfold CV model pca 7 Smote,Random Forest,0.9565428502063608,0.952068755264616,0.9498455762084388,0.9509439397205895,0.976597272074659,0.0009269100452314
Kfold CV model pca 7 Smote,KNN,0.9366351056081572,0.9221529019741366,0.9357268770734836,0.9286001661974764,0.9615218951902372,0.0010209779054
Kfold CV model pca 7 Smote,Naive Bayes,0.4202476329206118,0.4202802287082235,0.4584825906195978,0.4124543544451317,0.4568078487676478,0.004106717747905
Kfold CV model pca 7 Smote,Decision Tree,0.920854576353484,0.9091321457176144,0.9168753678599848,0.912900433039018,0.940894950945202,0.0023172751130787
Kfold CV model pca 7 Smote,Extra Trees,0.960427288176742,0.956326353038666,0.9534664860305824,0.9548796339732482,0.982212650554359,0.0010313937864078
Kfold CV model pca 6 smote,Random Forest,0.9578781257586793,0.95198585564428,0.9512738906096176,0.9516279086297488,0.9759910664433276,0.0015832681854733
Kfold CV model pca 6 smote,KNN,0.9434328720563244,0.9296185593282892,0.9431488689415688,0.9360588965985602,0.9630374092685652,0.0012249408196827
Kfold CV model pca 6 smote,Naive Bayes,0.4180626365622724,0.4234508073837638,0.4611925909418225,0.410196847839156,0.4543670734625508,0.0048679770896142
Kfold CV model pca 6 smote,Decision Tree,0.9234037387715464,0.9124459238844936,0.9184107068094868,0.9153444191324314,0.942968812315546,0.0022913212550715
Kfold CV model pca 6 smote,Extra Trees,0.961034231609614,0.9561538079315992,0.9541574654087756,0.9551409673962504,0.9816383504825716,0.0008522428261429
Kfold CV model pca 5 Smote,Random Forest,0.9430687059966011,0.9364503306744678,0.9374714093481258,0.9369561328062825,0.9666427374970089,0.00047161986118191067
Kfold CV model pca 5 Smote,KNN,0.9225540179655256,0.9067373337800697,0.9257543125064627,0.9155884385074786,0.9495094520220148,0.0019043369843364981
Kfold CV model pca 5 Smote,Naive Bayes,0.39087157076960427,0.3966917191931103,0.425322921691181,0.38071912405395864,0.4222381750019942,0.004997983243725169
Kfold CV model pca 5 Smote,Decision Tree,0.909686817188638,0.8957515940190097,0.9042074706853448,0.8998105117604889,0.9321687804099865,0.0029556157275222776
Kfold CV model pca 5 Smote,Extra Trees,0.9493809176984706,0.9442680759321134,0.9420766996102856,0.943147389721007,0.9736141022573184,0.0005228035290156573
