Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa OversamplingSMOTE,Random Forest,0.9688556682683752,0.9630934270367384,0.9625731564328756,0.962820836738693
Baseline Performa OversamplingSMOTE,KNN,0.9314824701904252,0.91374405812542,0.92682240508222,0.9199263113433986
Baseline Performa OversamplingSMOTE,Naive Bayes,0.3682149848727531,0.3857335279195506,0.3966175551371296,0.3515616952153196
Baseline Performa OversamplingSMOTE,Decision Tree,0.9398469478554904,0.9295464150754424,0.9329002975644728,0.9311671546264496
Baseline Performa OversamplingSMOTE,Extra Trees,0.9688556682683752,0.963181346147306,0.9622889550945246,0.9627236241983396
normalization Performa OversamplingSMOTE,Random Forest,0.9679658302189,0.9620881096709404,0.962141363226673,0.9621086457824802
normalization Performa OversamplingSMOTE,KNN,0.9225840896956754,0.9029680433215936,0.918278036034841,0.91011369476551
normalization Performa OversamplingSMOTE,Naive Bayes,0.3682149848727531,0.3857335279195506,0.3966175551371296,0.3515616952153196
normalization Performa OversamplingSMOTE,Decision Tree,0.9403808506851752,0.9300398460154128,0.9337110292375888,0.9318059986310412
normalization Performa OversamplingSMOTE,Extra Trees,0.9692116034881652,0.9638300760988124,0.9629235838443166,0.9633707351752604
pca 8 Performa OversamplingSMOTE,Random Forest,0.9256095390638904,0.9132060568035648,0.9113537255903964,0.912128956427252
pca 8 Performa OversamplingSMOTE,KNN,0.9142196120306104,0.8935839397282844,0.909613894107786,0.9010260610966094
pca 8 Performa OversamplingSMOTE,Naive Bayes,0.4050542801210179,0.4125807136053996,0.4427289239497551,0.3978251494812942
pca 8 Performa OversamplingSMOTE,Decision Tree,0.8435664709022958,0.8218628879318517,0.831092275784644,0.8262688992024257
pca 8 Performa OversamplingSMOTE,Extra Trees,0.9286349884321052,0.9182505353832722,0.915213026886834,0.9166597915834396
pca 7 Performa OversamplingSMOTE,Random Forest,0.9127958711514504,0.8999633419742535,0.8978519283750949,0.8987347431761481
pca 7 Performa OversamplingSMOTE,KNN,0.9053212315358604,0.8840028529607599,0.9012005532934022,0.8919546733369609
pca 7 Performa OversamplingSMOTE,Naive Bayes,0.402206798362698,0.4122096384270361,0.4399324336456754,0.3970845845401815
pca 7 Performa OversamplingSMOTE,Decision Tree,0.8295070297205909,0.8069667024142241,0.8167836525016966,0.8115109875162488
pca 7 Performa OversamplingSMOTE,Extra Trees,0.9181348994483004,0.9050706917678728,0.9021509846205064,0.9034916193469226
pca 6 Performa OversamplingSMOTE,Random Forest,0.9113721302722904,0.8985107443677729,0.897938376262948,0.8981070731108712
pca 6 Performa OversamplingSMOTE,KNN,0.9094144865634456,0.887665694524876,0.9044603086786028,0.895491267521407
pca 6 Performa OversamplingSMOTE,Naive Bayes,0.387969389571098,0.4081070959149297,0.4409931681353014,0.3867208350063719
pca 6 Performa OversamplingSMOTE,Decision Tree,0.8330663819184908,0.8096667282237571,0.8210734337600469,0.8150249991184314
pca 6 Performa OversamplingSMOTE,Extra Trees,0.9236518953550452,0.9116728060592466,0.9091685246019884,0.9103450946141132
pca 5 Performa OversamplingSMOTE,Random Forest,0.8809396689802456,0.8650730788305511,0.8688608753075225,0.866811962399893
pca 5 Performa OversamplingSMOTE,KNN,0.8772023491724507,0.8534293140079224,0.8771246686996783,0.8641355759230365
pca 5 Performa OversamplingSMOTE,Naive Bayes,0.38280832888414307,0.37758507465147034,0.40496990183392567,0.36444687297231676
pca 5 Performa OversamplingSMOTE,Decision Tree,0.8017440825769709,0.7778227240428377,0.7900689806223247,0.7835535677104836
pca 5 Performa OversamplingSMOTE,Extra Trees,0.8912617903541555,0.8781268632019644,0.876892326466366,0.8773960627092308
