Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble random oversampling,Bagging,0.9947674047603854,0.9947734324159668,0.9948109140670416,0.9947890519433872
Baseline Performa Ensemble random oversampling,AdaBoost,0.4616808116903835,0.463154078143861,0.4626091282504013,0.4565589790303606
Baseline Performa Ensemble random oversampling,GradientBoosting,0.7984174590007019,0.8007110774162575,0.7991616865020782,0.7978633938914695
Baseline Performa Ensemble random oversampling,Voting (RF+ET+KNN),0.9954693382681384,0.9954870609236718,0.9955011740748728,0.9954917262607076
Baseline Performa Ensemble random oversampling,Stacking (RF+ET+KNN),0.996873205283645,0.9968987171867116,0.9968781179241898,0.996887915633794
Baseline Normalization Performa Ensemble random oversampling,Bagging,0.994831216897454,0.9948378691415586,0.9948779979510242,0.9948545984901463
Baseline Normalization Performa Ensemble random oversampling,AdaBoost,0.4616808116903835,0.463154078143861,0.4626091282504013,0.4565589790303606
Baseline Normalization Performa Ensemble random oversampling,GradientBoosting,0.7984174590007019,0.8007110774162575,0.7991616865020782,0.7978633938914695
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+KNN),0.9955331504052072,0.995555667107858,0.9955681173716237,0.9955580706220276
Baseline Normalization Performa Ensemble random oversampling,Stacking (RF+ET+KNN),0.9968093931465764,0.9968346435299192,0.996811823919544,0.9968222379775742
PCA 7 Performa Ensemble random oversampling,Bagging,0.9878756939569906,0.9879092754723434,0.9879998826695092,0.9879222573745564
PCA 7 Performa Ensemble random oversampling,AdaBoost,0.4302214281156276,0.4339105171191167,0.430637428479166,0.428745325150918
PCA 7 Performa Ensemble random oversampling,GradientBoosting,0.661285176440559,0.6654908050800037,0.6617988160296069,0.6608551303926357
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+KNN),0.9897900580690449,0.9898317577275442,0.989879627921361,0.9898269306780844
PCA 7 Performa Ensemble random oversampling,Stacking (RF+ET+KNN),0.990236743028524,0.9903224241110664,0.990262948833784,0.9902896533860416
PCA 6 Performa Ensemble random oversampling,Bagging,0.9884500031906068,0.98848663016697,0.9885523193612678,0.988497243284771
PCA 6 Performa Ensemble random oversampling,AdaBoost,0.4181609342096867,0.4111464141528635,0.4184938873365589,0.4107077924083949
PCA 6 Performa Ensemble random oversampling,GradientBoosting,0.6452045178993044,0.6522736560702775,0.6458498795338361,0.6445251016301614
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+KNN),0.9905558037138664,0.9905837949512116,0.9906503681088076,0.99058882963353
PCA 6 Performa Ensemble random oversampling,Stacking (RF+ET+KNN),0.991321549358688,0.9913803349236368,0.9913456157478538,0.991361444157997
PCA 5 Performa Ensemble Random Oversampling,Bagging,0.9828345351285814,0.9828905228877373,0.9830028751760684,0.9828694703759606
PCA 5 Performa Ensemble Random Oversampling,AdaBoost,0.41809712207261823,0.4273354721130622,0.41835052045644083,0.4128688297060023
PCA 5 Performa Ensemble Random Oversampling,GradientBoosting,0.6247208219003254,0.632105595977851,0.6255851099993992,0.6233373576835105
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+KNN),0.9859613298449365,0.986025417910262,0.9860953782562006,0.986003926361055
PCA 5 Performa Ensemble Random Oversampling,Stacking (RF+ET+KNN),0.9886414396018123,0.98871679671344,0.9886784469719366,0.9886952614059362
