Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble Random Over Sampling,Bagging,0.9629827371418402,0.958497166994898,0.955089298475864,0.956723427159125
Baseline Performa Ensemble Random Over Sampling,AdaBoost,0.4283680370172628,0.4145455728751046,0.3051300006165559,0.2916780421318686
Baseline Performa Ensemble Random Over Sampling,GradientBoosting,0.7778964228510411,0.7957012316105965,0.725237441926214,0.7520914931633189
Baseline Performa Ensemble Random Over Sampling,Voting (RF+ET+DT) soft,0.9597793201637302,0.9543102787140488,0.9513488623444986,0.9527921385202268
Baseline Performa Ensemble Random Over Sampling,Voting (RF+ET+DT) hard,0.9681437978287952,0.9635915650580004,0.960376232217888,0.9619322623138302
Baseline Performa Ensemble random oversampling,Bagging,0.9583555792845702,0.9514222499822896,0.9516310896366528,0.9514677648865484
Baseline Performa Ensemble random oversampling,AdaBoost,0.4162662395444029,0.4124126709947192,0.44114320749001,0.4049748019154192
Baseline Performa Ensemble random oversampling,GradientBoosting,0.7383876134543513,0.7129797914069262,0.7580217716966052,0.7281518390161239
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9624488343121552,0.9571774967608412,0.9534244424035356,0.9552528645962536
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.96938957109806,0.9652179513228928,0.9622432507769572,0.9636810554776004
Baseline Normalization Performa Ensemble random oversampling,Bagging,0.9587115145043602,0.9517016461562956,0.9520624779618118,0.9518198710919552
Baseline Normalization Performa Ensemble random oversampling,AdaBoost,0.4162662395444029,0.4124126709947192,0.44114320749001,0.4049748019154192
Baseline Normalization Performa Ensemble random oversampling,GradientBoosting,0.7385655810642463,0.7131976184096034,0.7582759013027043,0.7283953394481342
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9636946075814202,0.9586892739693316,0.9548122645169184,0.9567032858699444
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9692116034881652,0.965224718840586,0.9618624580697576,0.963492252777144
PCA 8 Performa Ensemble random oversampling,Bagging,0.9106602598327104,0.8963320239792344,0.8952495132470686,0.8956519714797695
PCA 8 Performa Ensemble random oversampling,AdaBoost,0.404520377291333,0.409498782016357,0.433993679355893,0.3998184936031049
PCA 8 Performa Ensemble random oversampling,GradientBoosting,0.6337426588360918,0.610414690409578,0.6463952087726128,0.6196727074719824
PCA 8 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.8846769887880406,0.8699924141576098,0.8633981343797558,0.8665454147506073
PCA 8 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9236518953550452,0.9151890804512453,0.9048887018963206,0.909607865632141
PCA 7 Performa Ensemble random oversampling,Bagging,0.8949991101619506,0.8825456419688631,0.8784029542782245,0.8803294591879078
PCA 7 Performa Ensemble random oversampling,AdaBoost,0.4086136323189179,0.3950344489366543,0.4151639272970578,0.3946313631512591
PCA 7 Performa Ensemble random oversampling,GradientBoosting,0.613098416088272,0.5915148778861379,0.6247627118983018,0.5979707916118204
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.8795159281010856,0.8652989144238321,0.8581395485541679,0.8616066820307055
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9154653852998754,0.9072945465282286,0.8963452120579187,0.9013900545661254
PCA 6 Performa Ensemble random oversampling,Bagging,0.8983804947499555,0.8845194893935059,0.8837240264442423,0.8839702501289608
PCA 6 Performa Ensemble random oversampling,AdaBoost,0.4121729845168179,0.3992036477134594,0.4263679886759632,0.4001008318215678
PCA 6 Performa Ensemble random oversampling,GradientBoosting,0.603666132763837,0.5810124896415279,0.6112002826793402,0.5871643496176472
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.8821854422495106,0.8705317579801379,0.8615870791780926,0.8658382338160464
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9151094500800854,0.907417524221349,0.8974519960190281,0.9020438424024932
PCA 5 Performa Ensemble Random Oversampling,Bagging,0.8622530699412707,0.848396976307729,0.8448914426435206,0.8465201153572324
PCA 5 Performa Ensemble Random Oversampling,AdaBoost,0.4216052678412529,0.4004895154425242,0.4140075913522496,0.39836833882943834
PCA 5 Performa Ensemble Random Oversampling,GradientBoosting,0.5762591208400071,0.5585257943396547,0.5853688438767223,0.5628242561929564
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT) soft,0.8391172806549207,0.8244999817459939,0.8152676364248697,0.8196613677309893
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT) hard,0.8839651183484606,0.877100922642736,0.8633633436231649,0.8697512034141811
