Percobaan,Model,Accuracy_Test,Precision_Test,Recall_Test,F1-Score_Test,CV_Mean,CV_Std
Kfold CV model baseline random oversampling,Random Forest,0.9861616897305172,0.9845296343674846,0.9836373717312272,0.9840748678948046,0.9955651272234188,0.000399138422372
Kfold CV model baseline random oversampling,KNN,0.9596989560572956,0.9490441003936978,0.9576415213238332,0.9532079464864062,0.9706309324399778,0.0017088100618356
Kfold CV model baseline random oversampling,Naive Bayes,0.3826171400825443,0.3927649012520344,0.4079233383404833,0.3591569896557414,0.3983887692430406,0.0046451361008264
Kfold CV model baseline random oversampling,Decision Tree,0.9712308812818644,0.9688796904332204,0.966278146938689,0.967565293361211,0.9891999680944406,0.0007526601969903
Kfold CV model baseline random oversampling,Extra Trees,0.9853119689244962,0.9834002513905789,0.9818512100909536,0.9826146115523664,0.9951184493898062,0.0005252317981384
Kfold CV model normalisasi random oversampling,Random Forest,0.9851905802379218,0.9834530108886071,0.9824515745763416,0.9829430044491336,0.9954375049852436,0.0004978698742706
Kfold CV model normalisasi random oversampling,KNN,0.9502306385044914,0.9377932215158822,0.948360582383668,0.9428493751748126,0.9653984206748026,0.0017102987022972
Kfold CV model normalisasi random oversampling,Naive Bayes,0.3826171400825443,0.3927649012520344,0.4079233383404833,0.3591569896557414,0.3983887692430406,0.0046451361008264
Kfold CV model normalisasi random oversampling,Decision Tree,0.9700169944161204,0.9674387855922304,0.9645697070050944,0.9659838062639584,0.989136156975353,0.0006905913957697
Kfold CV model normalisasi random oversampling,Extra Trees,0.9854333576110706,0.983572851920336,0.981906513143955,0.9827258629347552,0.9952141660684374,0.0004397877882137
Kfold CV model pca 7 random oversampling,Random Forest,0.9565428502063608,0.953029233622798,0.9482556982988009,0.9506011086954336,0.9852755842705592,0.0012113612830227
Kfold CV model pca 7 random oversampling,KNN,0.9322651128914784,0.9168762882698308,0.9323170779676552,0.9240645542902698,0.9557469889128182,0.0019844386000152
Kfold CV model pca 7 random oversampling,Naive Bayes,0.4202476329206118,0.4206932404699821,0.4600707080027453,0.4129063363812307,0.4559463986599664,0.003811813160531
Kfold CV model pca 7 random oversampling,Decision Tree,0.9166059723233796,0.9097018773155646,0.9078720291872152,0.9087292764390236,0.969689718433437,0.0014871208341927
Kfold CV model pca 7 random oversampling,Extra Trees,0.960427288176742,0.9584211463361578,0.9508639291861444,0.9545373432032616,0.9877482651351996,0.0012768204708471
Kfold CV model pca 6 random oversampling,Random Forest,0.9560572954600632,0.9524705475907856,0.9476613003616848,0.950016209455257,0.985419159288506,0.0010586685824702
Kfold CV model pca 6 random oversampling,KNN,0.9394270453993688,0.925537137107994,0.9403576509376136,0.9325111018054896,0.9583791975751774,0.0020759464548989
Kfold CV model pca 6 random oversampling,Naive Bayes,0.420611798980335,0.4263698138836787,0.4651953906817202,0.4134419488747565,0.454861609635479,0.0039074867859363
Kfold CV model pca 6 random oversampling,Decision Tree,0.9210973537266328,0.9134318266218148,0.9110702957783422,0.9121481050547052,0.9703756879636276,0.0006312948532315
Kfold CV model pca 6 random oversampling,Extra Trees,0.9584850691915512,0.9562551790679744,0.9489683112756302,0.9525173767392078,0.9878918401531468,0.0008973349994688
Kfold CV model pca 5 random oversampling,Random Forest,0.9423403738771546,0.9367936082982903,0.9337368621754949,0.9352245434884321,0.9796123474515435,0.001100163653158903
Kfold CV model pca 5 random oversampling,KNN,0.9214615197863559,0.9055405642875067,0.9246825430862511,0.9144245703815589,0.9439100263220868,0.002738307542936956
Kfold CV model pca 5 random oversampling,Naive Bayes,0.38820101966496723,0.39423582118415534,0.42278817313248884,0.3779159658167711,0.41716519103453775,0.004019973891155505
Kfold CV model pca 5 random oversampling,Decision Tree,0.9045884923525127,0.8939504415470164,0.89404136348945,0.8939802305260915,0.9646167344659806,0.001130960955556588
Kfold CV model pca 5 random oversampling,Extra Trees,0.9473173100267055,0.9462582742537128,0.936257894558487,0.9410759360968474,0.9831857701204434,0.0007902666396427074
