Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa randomoversampling,Random Forest,0.9690336358782702,0.964436662873366,0.9623440959601636,0.9633622768898804
Baseline Performa randomoversampling,KNN,0.9305926321409504,0.9118603668247438,0.9258351316703044,0.918499466720106
Baseline Performa randomoversampling,Naive Bayes,0.3687488877024381,0.384804132962414,0.3978194143623627,0.3533057204699772
Baseline Performa randomoversampling,Decision Tree,0.9366435308773804,0.9279706411251027,0.9266955200004496,0.927244910647239
Baseline Performa randomoversampling,Extra Trees,0.9683217654386902,0.9636532935356158,0.96015733431404,0.9618757428618698
normalization Performa randomoversampling,Random Forest,0.9683217654386902,0.9634243345750432,0.9620671414954444,0.9627156060452708
normalization Performa randomoversampling,KNN,0.9224061220857804,0.901947647401587,0.9179530656610826,0.9094237489996584
normalization Performa randomoversampling,Naive Bayes,0.3687488877024381,0.384804132962414,0.3978194143623627,0.3533057204699772
normalization Performa randomoversampling,Decision Tree,0.9380672717565404,0.929581837046198,0.9283374717199312,0.9288793284741028
normalization Performa randomoversampling,Extra Trees,0.9683217654386902,0.9637234932809936,0.9602189711386184,0.9619434311123736
pca 8 Performa randomoversampling,Random Forest,0.9216942516462004,0.9126915285583695,0.9039432674440688,0.9080097011575544
pca 8 Performa randomoversampling,KNN,0.9122619683217654,0.8907005727854058,0.908383509532676,0.8988599078835577
pca 8 Performa randomoversampling,Naive Bayes,0.4082576970991279,0.4164177880250985,0.4472693764675293,0.4019437382994034
pca 8 Performa randomoversampling,Decision Tree,0.8339562199679659,0.8128835676198423,0.8145276478418759,0.8136733602284851
pca 8 Performa randomoversampling,Extra Trees,0.9270332799430504,0.9205659971113324,0.9081951366303974,0.914008951448018
pca 7 Performa randomoversampling,Random Forest,0.9115500978821854,0.9029174360608784,0.89339292381535,0.8977867759568694
pca 7 Performa randomoversampling,KNN,0.9040754582665956,0.8820748710066908,0.9000423978866781,0.8903466472519019
pca 7 Performa randomoversampling,Naive Bayes,0.403630539241858,0.4111828910476299,0.4397245075980406,0.3980615067508507
pca 7 Performa randomoversampling,Decision Tree,0.8307528029898559,0.8109592039957544,0.808552453262281,0.8097037847507369
pca 7 Performa randomoversampling,Extra Trees,0.9158213205196656,0.910359084675412,0.8940730889502081,0.9016600080258688
pca 6 Performa randomoversampling,Random Forest,0.9126179035415556,0.9029684290885056,0.8963299949340777,0.8993978043339894
pca 6 Performa randomoversampling,KNN,0.9060331019754404,0.8839584674631636,0.902133350901956,0.8923454753829168
pca 6 Performa randomoversampling,Naive Bayes,0.386367681082043,0.3987926605027683,0.4332939841069668,0.3836047564625043
pca 6 Performa randomoversampling,Decision Tree,0.8241680014237409,0.8069438029546676,0.802350413369763,0.8045861626924211
pca 6 Performa randomoversampling,Extra Trees,0.9165331909592456,0.9119601449685608,0.8966627093112436,0.90381321392236
pca 5 Performa randomoversampling,Random Forest,0.8773803167823456,0.8659667416425652,0.8596015420206943,0.862603811225075
pca 5 Performa randomoversampling,KNN,0.8779142196120306,0.8533349624482023,0.8771527642746124,0.8640700881411277
pca 5 Performa randomoversampling,Naive Bayes,0.3790710090763481,0.3731876947276596,0.4008056936196184,0.3623467745646479
pca 5 Performa randomoversampling,Decision Tree,0.7876846413952661,0.7669566652517407,0.764304804781838,0.7655146994998535
pca 5 Performa randomoversampling,Extra Trees,0.8878804057661506,0.8864021678028273,0.86323301873043,0.873923243254651
