Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble undersampling,Bagging,0.9702594389369332,0.9702791337350816,0.9702861448797624,0.9702592669515828
Baseline Performa Ensemble undersampling,AdaBoost,0.4562328622653449,0.46855074115013,0.4574300371258598,0.4485826068125426
Baseline Performa Ensemble undersampling,GradientBoosting,0.7762075511495465,0.7771341981992286,0.7766348384205795,0.7753832738899227
Baseline Performa Ensemble undersampling,Voting (RF+ET+KNN),0.9717359206918372,0.9717119671533544,0.971774452714517,0.9717194095943672
Baseline Performa Ensemble undersampling,Stacking (RF+ET+KNN),0.9763762919215356,0.9763455310820234,0.9763532718911148,0.9763239900182252
Baseline normalisasi Performa Ensemble undersampling,Bagging,0.9702594389369332,0.9702667938587604,0.9702890657357978,0.970252880241708
Baseline normalisasi Performa Ensemble undersampling,AdaBoost,0.4562328622653449,0.46855074115013,0.4574300371258598,0.4485826068125426
Baseline normalisasi Performa Ensemble undersampling,GradientBoosting,0.7764184771145328,0.7773559740079415,0.7768433889940936,0.7756104512629347
Baseline normalisasi Performa Ensemble undersampling,Voting (RF+ET+KNN),0.9700485129719468,0.9700239629518392,0.9700859721805182,0.970036021139286
Baseline normalisasi Performa Ensemble undersampling,Stacking (RF+ET+KNN),0.9751107361316178,0.9750699087559,0.9750780116345048,0.9750558749062432
PCA 7 Performa Ensemble undersampling,Bagging,0.9181607255853196,0.9181335112697392,0.9182883712049428,0.9180650071247464
PCA 7 Performa Ensemble undersampling,AdaBoost,0.4252267454123603,0.4251908872661288,0.4260682804569128,0.4216104258871964
PCA 7 Performa Ensemble undersampling,GradientBoosting,0.6367854882936089,0.6404013319294827,0.6370111828413895,0.6356396257817376
PCA 7 Performa Ensemble undersampling,Voting (RF+ET+KNN),0.9306053575195108,0.93068354569547,0.9307121684065708,0.9305750101915068
PCA 7 Performa Ensemble undersampling,Stacking (RF+ET+KNN),0.9329255431343598,0.9330035418878246,0.9329128912307214,0.9328763057475437
PCA 6 Performa Ensemble undersampling,Bagging,0.917738873655347,0.9177542645090018,0.9179245448629928,0.917651596529479
PCA 6 Performa Ensemble undersampling,AdaBoost,0.4302889685720312,0.4269359347270912,0.430715606242756,0.4232533924322735
PCA 6 Performa Ensemble undersampling,GradientBoosting,0.6268719679392534,0.6314208129699402,0.6270322023682479,0.625281112395131
PCA 6 Performa Ensemble undersampling,Voting (RF+ET+KNN),0.9312381354144696,0.9312883428729444,0.9313111235621452,0.9311376495794426
PCA 6 Performa Ensemble undersampling,Stacking (RF+ET+KNN),0.937354988399072,0.937280152278424,0.9373264404868792,0.937279277688712
PCA 5 Performa Ensemble undersampling,Bagging,0.8911622020670744,0.8910339170962631,0.8914529019789292,0.8909739473105093
PCA 5 Performa Ensemble undersampling,AdaBoost,0.41468044716304575,0.41327109792723193,0.415315434649041,0.4105422272770845
PCA 5 Performa Ensemble undersampling,GradientBoosting,0.5950221472263235,0.6014238186698722,0.5954226391795563,0.5923111991768055
PCA 5 Performa Ensemble undersampling,Voting (RF+ET+KNN),0.9128875764606623,0.9128185284190989,0.9130693965684087,0.9127860455852683
PCA 5 Performa Ensemble undersampling,Stacking (RF+ET+KNN),0.9149968361105252,0.9154217592482423,0.9150425191836515,0.9150182547325347
