Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble undersampling,Bagging,0.9629827371418402,0.958497166994898,0.955089298475864,0.956723427159125
Baseline Performa Ensemble undersampling,AdaBoost,0.4283680370172628,0.4145455728751046,0.3051300006165559,0.2916780421318686
Baseline Performa Ensemble undersampling,GradientBoosting,0.7778964228510411,0.7957012316105965,0.725237441926214,0.7520914931633189
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9597793201637302,0.9543102787140488,0.9513488623444986,0.9527921385202268
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9681437978287952,0.9635915650580004,0.960376232217888,0.9619322623138302
Baseline normalisasi Performa Ensemble undersampling,Bagging,0.9476775226908702,0.9357709992077872,0.949464782288973,0.942241843057005
Baseline normalisasi Performa Ensemble undersampling,AdaBoost,0.4127068873465029,0.3998235560043651,0.4276455452661685,0.3983332320424629
Baseline normalisasi Performa Ensemble undersampling,GradientBoosting,0.7426588360918313,0.7177984763720306,0.7628236595415052,0.7325255560469358
Baseline normalisasi Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9400249154653852,0.9278994614076288,0.9389099161953528,0.9331508126388977
Baseline normalisasi Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9553301299163552,0.9441067101307918,0.9547060366263928,0.9491678908674388
PCA 8 Performa Ensemble undersampling,Bagging,0.8820074746396156,0.8581405931883517,0.8872821798363013,0.8707827807014471
PCA 8 Performa Ensemble undersampling,AdaBoost,0.4135967253959779,0.4044445107557871,0.4255753236207774,0.3991144933501482
PCA 8 Performa Ensemble undersampling,GradientBoosting,0.6344545292756718,0.6087800041865946,0.6442697279475025,0.6180473227021042
PCA 8 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.8391172806549207,0.814953518380715,0.843774910267377,0.8275068049668686
PCA 8 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.8942872397223706,0.8729295100133421,0.8945500254416595,0.8825731508889489
PCA 7 Performa Ensemble undersampling,Bagging,0.8629649403808507,0.8389530013262428,0.8661843807752729,0.8508485417661324
PCA 7 Performa Ensemble undersampling,AdaBoost,0.4207154297917779,0.4129525051240872,0.4304554370007348,0.4082550498579558
PCA 7 Performa Ensemble undersampling,GradientBoosting,0.608649225840897,0.5856008760977367,0.6225944911869324,0.5940879114927805
PCA 7 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.8279053212315358,0.802417461723938,0.8344677395844418,0.8160035859784396
PCA 7 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.8871685353265706,0.8655623627353473,0.8872776637486531,0.8752155392639892
PCA 6 Performa Ensemble undersampling,Bagging,0.8617191671115857,0.8384968631466696,0.8671699922402085,0.8508922154030749
PCA 6 Performa Ensemble undersampling,AdaBoost,0.4171560775938779,0.4023030281303179,0.4204784653214728,0.4019606062011179
PCA 6 Performa Ensemble undersampling,GradientBoosting,0.597437266417512,0.5747043105588788,0.6090151940285755,0.5822018823487296
PCA 6 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.8307528029898559,0.805740149047732,0.8364438989256158,0.8186786416774995
PCA 6 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.8839651183484606,0.8639555976755784,0.887365692882697,0.8740012323250375
PCA 5 Performa Ensemble undersampling,Bagging,0.8166933618081509,0.7949736276142115,0.8291294819712347,0.8085088373279369
PCA 5 Performa Ensemble undersampling,AdaBoost,0.404342409681438,0.38750626017428924,0.40289230441655854,0.3835332674862483
PCA 5 Performa Ensemble undersampling,GradientBoosting,0.5696743192738921,0.5530181265109058,0.5826943844895593,0.5576389238677649
PCA 5 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.7732692649937711,0.7486411774463193,0.7837153897918061,0.7628524643530171
PCA 5 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.8348460580174408,0.8138096317406605,0.8443218106128949,0.8261645684681758
