Percobaan,Model,Accuracy_Test,Precision_Test,Recall_Test,F1-Score_Test,CV_Mean,CV_Std
Kfold CV model baseline undersampling,Random Forest,0.9736586550133528,0.9675159647684584,0.9747208135723636,0.9710299000358272,0.9686264170841022,0.0017881175805761
Kfold CV model baseline undersampling,KNN,0.9202476329206118,0.9011353562816636,0.9260300688891032,0.9122041749269448,0.9139994727128922,0.0025089116273915
Kfold CV model baseline undersampling,Naive Bayes,0.3811604758436513,0.3914663150798229,0.4057841995367606,0.356951878548609,0.3986290535196414,0.0051636459466786
Kfold CV model baseline undersampling,Decision Tree,0.9448895362952172,0.9349996925731268,0.9516979643656978,0.9428485443545808,0.933087266016346,0.0010466350245863
Kfold CV model baseline undersampling,Extra Trees,0.9780286477300316,0.97297451070235,0.9781967052587036,0.9755342401950162,0.9718428684418668,0.0017280221047375
Kfold CV model normalisasi undersamplingg,Random Forest,0.9739014323865016,0.9679265173283582,0.974898201615866,0.971327764875338,0.9689955180595836,0.001753576498636
Kfold CV model normalisasi undersamplingg,KNN,0.9051954357853847,0.8841337105599013,0.912227715426284,0.8963264190125223,0.9006591088847877,0.0020243979773743
Kfold CV model normalisasi undersamplingg,Naive Bayes,0.3811604758436513,0.3914663150798229,0.4057841995367606,0.356951878548609,0.3986290535196414,0.0051636459466786
Kfold CV model normalisasi undersamplingg,Decision Tree,0.9444039815489196,0.9344032685530156,0.9510868190171212,0.942249335455547,0.933298180859478,0.0012365978802592
Kfold CV model normalisasi undersamplingg,Extra Trees,0.9780286477300316,0.97297451070235,0.9781967052587036,0.9755342401950162,0.9718955971526496,0.0017215742385778
Kfold CV model pca 7 undersampling,Random Forest,0.9231609613983977,0.9107338412950912,0.927844723128309,0.9186902564742288,0.9104139203796467,0.0042752547958079
Kfold CV model pca 7 undersampling,KNN,0.8804321437242049,0.8568210300168839,0.8895920858257362,0.8706351003184378,0.8738201950962299,0.005108429778975
Kfold CV model pca 7 undersampling,Naive Bayes,0.4202476329206118,0.4240218135694419,0.4615252271998643,0.4135344447319385,0.4538360137094648,0.0069865044345064
Kfold CV model pca 7 undersampling,Decision Tree,0.8579752367079388,0.8377942264580579,0.8710560111335377,0.851624822375784,0.8409702082784076,0.0036736437539362
Kfold CV model pca 7 undersampling,Extra Trees,0.9343287205632436,0.9222371779957144,0.9374542374455738,0.9294279490294056,0.9224887951489588,0.0040741247080583
Kfold CV model pca 6 undersampling,Random Forest,0.9215829084729305,0.9081529529692584,0.9283894025142624,0.9173788924071792,0.9126285262325337,0.003993481935937
Kfold CV model pca 6 undersampling,KNN,0.8875940762320952,0.8649424554795715,0.8967648393875551,0.8784920802683638,0.8831004481940417,0.0037751694847706
Kfold CV model pca 6 undersampling,Naive Bayes,0.4173343044428259,0.4233013184619012,0.4600563156584576,0.4098812367946609,0.4486158713419457,0.0082493052703841
Kfold CV model pca 6 undersampling,Decision Tree,0.85360524399126,0.8336107779370596,0.8679592446992948,0.8479606299630266,0.8424466121803322,0.0070261872734468
Kfold CV model pca 6 undersampling,Extra Trees,0.9304442825928624,0.9170995294924212,0.9341424036370628,0.9250349108247484,0.925336145531242,0.0033902551870663
Kfold CV model pca 5 undersampling,Random Forest,0.8951201747997086,0.8781199824587487,0.9071203903536793,0.890878415285614,0.8889006063801741,0.0017535764986360044
Kfold CV model pca 5 undersampling,KNN,0.8555474629764506,0.8317399238765045,0.8727755904997732,0.8481415909288816,0.856841550224097,0.004892701591209954
Kfold CV model pca 5 undersampling,Naive Bayes,0.3869871327992231,0.39427200368223564,0.4212530967982199,0.3768243250940855,0.4152913261270762,0.007946830751578189
Kfold CV model pca 5 undersampling,Decision Tree,0.835882495751396,0.8151915159549011,0.8528342258109255,0.8301308167001296,0.8252043237542841,0.007119352346351747
Kfold CV model pca 5 undersampling,Extra Trees,0.9092012624423403,0.8939751854302245,0.9191536590093682,0.9053451024478172,0.9028209860268916,0.0032401353009727718
