Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa undersampling,Random Forest,0.9537284214273002,0.9425699914347208,0.9534643066625984,0.9477459966683922
Baseline Performa undersampling,KNN,0.8877024381562556,0.863382074605487,0.8984557606119292,0.8780431074468771
Baseline Performa undersampling,Naive Bayes,0.3733760455597081,0.3871155999105506,0.3966678077677074,0.3528652888257398
Baseline Performa undersampling,Decision Tree,0.9033635878270156,0.8860921367203511,0.908516890535258,0.8962912906655621
Baseline Performa undersampling,Extra Trees,0.9572877736252002,0.9460132047912528,0.9562974097046628,0.9509262074658013
normalization Performa undersampling,Random Forest,0.9539063890371952,0.9427887708328512,0.953484889376637,0.9478893036317012
normalization Performa undersampling,KNN,0.8756006406833956,0.8507945716186278,0.8874373936310906,0.865798776774976
normalization Performa undersampling,Naive Bayes,0.3733760455597081,0.3871155999105506,0.3966678077677074,0.3528652888257398
normalization Performa undersampling,Decision Tree,0.9035415554369104,0.8861497331474799,0.9087862542038178,0.8964564831477725
normalization Performa undersampling,Extra Trees,0.9572877736252002,0.9460132047912528,0.9562974097046628,0.9509262074658013
pca 8 Performa undersampling,Random Forest,0.8893041466453105,0.8665141040247676,0.8889998090616352,0.8765234060193496
pca 8 Performa undersampling,KNN,0.8594055881829507,0.8328147664424433,0.8703485824777154,0.8479795643256309
pca 8 Performa undersampling,Naive Bayes,0.4089695675387079,0.4155236504528263,0.4443476586650147,0.4007450283702691
pca 8 Performa undersampling,Decision Tree,0.7867948033457911,0.7602686661825298,0.7944472847066649,0.7742191082084189
pca 8 Performa undersampling,Extra Trees,0.9062110695853356,0.8860579568238796,0.905200893685058,0.8947739955924525
pca 7 Performa undersampling,Random Forest,0.8802277985406656,0.8581695296613366,0.8808258105235165,0.868108321550767
pca 7 Performa undersampling,KNN,0.8469478554903007,0.8205914139535446,0.8597667362741482,0.836192677573532
pca 7 Performa undersampling,Naive Bayes,0.4073678590496529,0.4131005668781767,0.4417462848522084,0.4009987369190376
pca 7 Performa undersampling,Decision Tree,0.7762947143619862,0.7483860448070053,0.7818186758175456,0.7619052957563771
pca 7 Performa undersampling,Extra Trees,0.8941092721124755,0.8719878480528699,0.894614326249547,0.8820477272002847
pca 6 Performa undersampling,Random Forest,0.8768464139526606,0.8564338932425416,0.8784775461422234,0.8660000820342226
pca 6 Performa undersampling,KNN,0.8487275315892507,0.8228374407927319,0.8607524405399746,0.8379933112608274
pca 6 Performa undersampling,Naive Bayes,0.3813845880049831,0.3923357750097914,0.4267214448778094,0.3776690407538691
pca 6 Performa undersampling,Decision Tree,0.7746930058729311,0.7468790748436702,0.7817216985781024,0.7605636375099236
pca 6 Performa undersampling,Extra Trees,0.8898380494749956,0.8689108474572758,0.8918348373307738,0.8789870999026771
pca 5 Performa undersampling,Random Forest,0.8314646734294359,0.8105438537961562,0.8412551087607865,0.8230519720820597
pca 5 Performa undersampling,KNN,0.807083110873821,0.7826088084672673,0.8264549964512435,0.7986647533935198
pca 5 Performa undersampling,Naive Bayes,0.3765794625378181,0.3725744430229395,0.3985272340161595,0.3600722580709569
pca 5 Performa undersampling,Decision Tree,0.7202349172450614,0.6941586233051498,0.7316275030460341,0.70822289078616
pca 5 Performa undersampling,Extra Trees,0.8505072076882008,0.8292666841492174,0.8568079230720465,0.8409593108634474
