Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble undersampling,Bagging,0.9612030610428902,0.9594968888488526,0.9517040049588796,0.9555082199598448
Baseline Performa Ensemble undersampling,AdaBoost,0.4481224417156078,0.3197096241352403,0.2918100651551863,0.2626123408986134
Baseline Performa Ensemble undersampling,GradientBoosting,0.7860829329062111,0.8070170178770424,0.7309923372077349,0.7602115777504987
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9604911906033102,0.956814621677072,0.9509712407714136,0.9538221993611028
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9690336358782702,0.9660248187764088,0.9604196128209116,0.963174246103284
Baseline Normalization Performa Ensemble Imbalance,Bagging,0.9613810286527852,0.959588889238945,0.9518030884726456,0.955607468549508
Baseline Normalization Performa Ensemble Imbalance,AdaBoost,0.4481224417156078,0.3197096241352403,0.2918100651551863,0.2626123408986134
Baseline Normalization Performa Ensemble Imbalance,GradientBoosting,0.7860829329062111,0.8071996365937448,0.7309923372077349,0.7602762068102009
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9596013525538352,0.9556753258747998,0.949971477856731,0.9527639504486846
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.96938957109806,0.9668188531434296,0.9608475289375992,0.9637870583019692
PCA 8 Performa Ensemble Imbalance,Bagging,0.9019398469478556,0.892251368877696,0.8811819110832134,0.886444042838278
PCA 8 Performa Ensemble Imbalance,AdaBoost,0.4600462715785727,0.4473256424209853,0.3220074236279902,0.3050388957110349
PCA 8 Performa Ensemble Imbalance,GradientBoosting,0.6716497597437266,0.7005352664498259,0.5927788516522251,0.6251485129714403
PCA 8 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.8839651183484606,0.8701704431362833,0.8615643672781056,0.8656918828612905
PCA 8 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9167111585691404,0.9112944149089428,0.8951246500883595,0.902670361182344
PCA 7 Performa Ensemble Imbalance,Bagging,0.8812956042000356,0.8752865388289314,0.8553540851551699,0.864575529234328
PCA 7 Performa Ensemble Imbalance,AdaBoost,0.4616479800676277,0.4035933057127346,0.3191961442361614,0.3070051194925728
PCA 7 Performa Ensemble Imbalance,GradientBoosting,0.6490478732870617,0.6757350347397896,0.5640709416761635,0.5960920604127339
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.8569140416444208,0.8433581806154985,0.8311160801695884,0.8368316334862304
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9033635878270156,0.8992218138865885,0.8791328241238012,0.8883652614356754
PCA 6 Performa Ensemble Imbalance,Bagging,0.8864566648869906,0.8797723822313275,0.8619799889460212,0.8703472321093118
PCA 6 Performa Ensemble Imbalance,AdaBoost,0.4531055347926677,0.3012575855102011,0.3051612718892532,0.2762190887936757
PCA 6 Performa Ensemble Imbalance,GradientBoosting,0.6469122619683217,0.6761918157870024,0.5623422968274172,0.593054215905265
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.8615411995016907,0.8485660328710946,0.8334925644854427,0.8406166324927067
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.8998042356291155,0.8949110947819474,0.8745067992325035,0.8839300129450269
PCA 5 Performa Ensemble Imbalance,Bagging,0.8579818473037907,0.8510041808571888,0.8286429610857239,0.8388297972184897
PCA 5 Performa Ensemble Imbalance,AdaBoost,0.4235629115500979,0.38783030603455837,0.2465077680602877,0.20234754140584096
PCA 5 Performa Ensemble Imbalance,GradientBoosting,0.6196832176543869,0.6371591085136933,0.5309765883122574,0.5554313811279301
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.8325324790888058,0.8168991655883856,0.8073895761951888,0.8119319207608852
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.8795159281010856,0.8748916966882261,0.8512277803559922,0.8618453410345044
