Percobaan,Model,Accuracy_Test,Precision_Test,Recall_Test,F1-Score_Test,CV_Mean,CV_Std
Kfold CV model baseline Imbalance,Random Forest,0.98349113862588,0.9822412118353412,0.978871611846266,0.9804900980234872,0.9805165318320448,0.001494726966007
Kfold CV model baseline Imbalance,KNN,0.95569312940034,0.944937623940131,0.944642221606914,0.9447535193326718,0.947376394306026,0.0024833343129156
Kfold CV model baseline Imbalance,Naive Bayes,0.4204904102937606,0.3573830887835812,0.3809224038259824,0.3448603757234413,0.4171343734696852,0.0046950694819821
Kfold CV model baseline Imbalance,Decision Tree,0.9717164360281622,0.96877273062695,0.9672967764643982,0.9680210148033964,0.962611120281968,0.0021754836343849
Kfold CV model baseline Imbalance,Extra Trees,0.9847050254916242,0.9840618824151564,0.9809525220404351,0.9824851399353428,0.981669706863339,0.0013213681612986
Kfold CV model normalisasi Imbalance,Random Forest,0.9836125273124544,0.982512310069861,0.9789520602335068,0.9806872634051528,0.9805165180182016,0.0016162869342923
Kfold CV model normalisasi Imbalance,KNN,0.9481670308327264,0.93677627738229,0.9360318504914258,0.9363542345196652,0.9356923832079842,0.0047080280094127
Kfold CV model normalisasi Imbalance,Naive Bayes,0.4204904102937606,0.3573830887835812,0.3809224038259824,0.3448603757234413,0.4171343734696852,0.0046950694819821
Kfold CV model normalisasi Imbalance,Decision Tree,0.9722019907744598,0.96939459167237,0.967962257380691,0.9686674960178776,0.9627021581137104,0.0020215317807965
Kfold CV model normalisasi Imbalance,Extra Trees,0.9848264141781986,0.9840673506017972,0.9810756883297278,0.9825492540761086,0.9813358769223404,0.0011321913543188
Kfold CV model pca 7 Imbalance,Random Forest,0.9530225782957028,0.9531423075130782,0.941900665883491,0.947309148689918,0.9423081458622128,0.0023720956711618
Kfold CV model pca 7 Imbalance,KNN,0.9349356639961156,0.9228429858268684,0.9206479534297528,0.9217076278318116,0.9167853897426228,0.0049544164485903
Kfold CV model pca 7 Imbalance,Naive Bayes,0.4792425345957756,0.4610120795607957,0.3860739690635166,0.384313534972699,0.4754028957038717,0.0012157158241363
Kfold CV model pca 7 Imbalance,Decision Tree,0.9109007040543822,0.898900835999126,0.8993062912346037,0.8990707639329771,0.8893812894716182,0.0022889854602454
Kfold CV model pca 7 Imbalance,Extra Trees,0.9603058994901676,0.9579582223423156,0.9503383338347534,0.9540245459244356,0.951109106568966,0.0021190835815873
Kfold CV model pca 6 Imbalance,Random Forest,0.9529011896091284,0.9515912050315134,0.9408380901423244,0.9460250010904752,0.9438255735219936,0.0029308765957475
Kfold CV model pca 6 Imbalance,KNN,0.9363923282350084,0.9251305735111588,0.9247560826696836,0.9249069359878416,0.9216109059371668,0.0008481160672544
Kfold CV model pca 6 Imbalance,Naive Bayes,0.4697742170429716,0.4422739983739808,0.3660511021270397,0.3519026267549193,0.465660963621474,0.0037734924020518
Kfold CV model pca 6 Imbalance,Decision Tree,0.915270696771061,0.9039741207466238,0.9055247717211972,0.9046779485399592,0.8922946934811783,0.0044475756453475
Kfold CV model pca 6 Imbalance,Extra Trees,0.9627336732216556,0.960752247588196,0.9527165159373964,0.9566132530275588,0.9518071707199935,0.0016765843492297
Kfold CV model pca 5 imbalance,Random Forest,0.9399126001456665,0.9362874459879341,0.925982101204089,0.9309761017848841,0.9250705599602529,0.00174971277931042
Kfold CV model pca 5 imbalance,KNN,0.9133284777858703,0.8996519282290738,0.8991204148722538,0.8993154761549921,0.896755860350333,0.00129813315577088
Kfold CV model pca 5 imbalance,Naive Bayes,0.4462248118475358,0.4598964289080941,0.3356765946275917,0.31617876965246994,0.4381961008585534,0.0071700225645485085
Kfold CV model pca 5 imbalance,Decision Tree,0.8973051711580481,0.8847267266915063,0.8870758590554695,0.8858681729158858,0.8766957701321225,0.002149583755011143
Kfold CV model pca 5 imbalance,Extra Trees,0.9484098082058752,0.9458948624504355,0.9355120966983952,0.9405223641320741,0.9353585072208412,0.0015586378057775817
