IBI,HR,NO2,Noise,NH3,PM10,CO,PM25,Label,PM1,EDA,BVP
0,0.377573983,0,0.511357651,0.00301818,0.003090508,0.871757576,0,5,0,0,0
0,0.196397567,0,0.490903345,0.00301818,0.003090508,0.876848485,0.003090508,5,0.001854305,0,0
0,0.454162692,0,0.470449039,0.00603636,0.006181015,0.881939394,0.006181015,5,0.003708609,0,0
0,0.322450579,0,0.449994733,0.00905454,0.009271523,0.887030303,0.009271523,5,0.005562914,0,0
0,0.237594727,0,0.429540427,0.01207272,0.012362031,0.892121212,0.012362031,5,0.007417219,0,0
0,0.171056496,0,0.409086121,0.0150909,0.015452539,0.897212121,0.015452539,5,0.009271523,0,0
0,0.118677701,0,0.388631815,0.018109079,0.018543046,0.90230303,0.018543046,5,0.011125828,0,0
0,0.075544563,0,0.368177509,0.021127259,0.021633554,0.907393939,0.021633554,5,0.012980132,0,0
0,0.059387163,0,0.347723203,0.024145439,0.024724062,0.912484848,0.024724062,5,0.014834437,0,0
0,0.046236901,0,0.327268897,0.027163619,0.02781457,0.917575758,0.02781457,5,0.016688742,0,0
0,0.040438084,0,0.306814591,0.030181799,0.030905077,0.922666667,0.030905077,5,0.018543046,0,0
0,0.032454185,0,0.286360285,0.033199979,0.033995585,0.927757576,0.033995585,5,0.020397351,0,0
0,0.024248696,0,0.265905979,0.036218159,0.037086093,0.932848485,0.037086093,5,0.022251656,0,0
0,0.01685416,0,0.245451672,0.039236339,0.0401766,0.937939394,0.0401766,5,0.02410596,0,0
0,0.01048272,0,0.224997366,0.042254519,0.043267108,0.943030303,0.043267108,5,0.025960265,0,0
0,0.004933503,0,0.20454306,0.045272699,0.046357616,0.948121212,0.046357616,5,0.02781457,0,0
0,0.004460986,0,0.184088754,0.048290879,0.049448124,0.953212121,0.049448124,5,0.029668874,0,0
0,0,0,0.163634448,0.051309059,0.052538631,0.95830303,0.052538631,5,0.031523179,0,0
0,0.001759302,0,0.143180142,0.054327238,0.055629139,0.963393939,0.055629139,5,0.033377483,0,0
0,0.004414745,0,0.122725836,0.057345418,0.058719647,0.968484848,0.058719647,5,0.035231788,0,0
0,0.01071873,0,0.10227153,0.060363598,0.061810155,0.973575758,0.061810155,5,0.037086093,0,0
0,0.018088737,0,0.081817224,0.063381778,0.064900662,0.978666667,0.064900662,5,0.038940397,0,0
0,0.024063402,0,0.061362918,0.066399958,0.06799117,0.983757576,0.06799117,5,0.040794702,0,0
0,0.022355313,0,0.040908612,0.069418138,0.071081678,0.988848485,0.071081678,5,0.042649007,0,0
0,0.019904555,0,0.020454306,0.072436318,0.074172185,0.993939394,0.074172185,5,0.044503311,0,0
0,0.019655618,0,0,0.075454498,0.077262693,0.999030303,0.077262693,5,0.046357616,0,0
0,0.020455632,0.001616661,0.003608349,0.077216129,0.07593819,0.996848485,0.07593819,5,0.045562914,0,0
0,0.021075489,0.003946555,0.017832576,0.078423401,0.072847682,0.991757576,0.072847682,5,0.043708609,0,0
0,0.021691038,0.006276449,0.032056803,0.079630673,0.069757174,0.986666667,0.069757174,5,0.041854305,0,0
0,0.022106044,0.008606343,0.04628103,0.080837945,0.066666667,0.981575758,0.066666667,5,0.04,0,0
0,0.022716786,0.010936237,0.060505257,0.082045217,0.063576159,0.976484848,0.063576159,5,0.038145695,0,0
0,0.023732756,0.013266131,0.074729484,0.083252489,0.060485651,0.971393939,0.060485651,5,0.036291391,0,0
0,0.02595894,0.015596025,0.088953711,0.084459761,0.057395143,0.96630303,0.057395143,5,0.034437086,0,0
