Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble SMOTE,Bagging,0.9816211121583412,0.9799426903803264,0.9778290477216638,0.9788565035367472
Baseline Performa Ensemble SMOTE,AdaBoost,0.465951932139491,0.362181141469635,0.3688720176073747,0.3464119293217451
Baseline Performa Ensemble SMOTE,GradientBoosting,0.8041941564561734,0.8165997612387569,0.7538929922992532,0.7780633671162989
Baseline Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9811498586239396,0.9791288046774368,0.9772917988201804,0.9781977444226132
Baseline Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9853911404335532,0.9836436814385072,0.9818594007320668,0.9827428666923564
Baseline Performa Ensemble smote,Bagging,0.9804429783223374,0.9774501050538448,0.9779381349497756,0.9776819210722704
Baseline Performa Ensemble smote,AdaBoost,0.4269557021677662,0.4513292747978342,0.4696012865573901,0.4146018858802037
Baseline Performa Ensemble smote,GradientBoosting,0.7633129123468426,0.7375048549181358,0.781182506122291,0.7516505705680748
Baseline Performa Ensemble smote,Voting (RF+ET+DT) soft,0.9820923656927428,0.9793772031584034,0.9788604209583024,0.979110215777246
Baseline Performa Ensemble smote,Voting (RF+ET+DT) hard,0.986215834118756,0.9841482746344288,0.9832274161834682,0.98368442061692
Baseline Normalization Performa Ensemble SMOTE,Bagging,0.979971724787936,0.9769723002156412,0.977300632952998,0.9771275977062116
Baseline Normalization Performa Ensemble SMOTE,AdaBoost,0.4269557021677662,0.4513292747978342,0.4696012865573901,0.4146018858802037
Baseline Normalization Performa Ensemble SMOTE,GradientBoosting,0.7613100848256362,0.7363247390388334,0.7797085097337855,0.7497573199836818
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.98126767200754,0.978611860349316,0.977979001375708,0.9782888368288069
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9857445805843544,0.9836846196792888,0.9827190807231496,0.9831962077028036
PCA 8 Performa Ensemble SMOTE,Bagging,0.9610037700282752,0.954195862000279,0.9556506139013232,0.9549115113664788
PCA 8 Performa Ensemble SMOTE,AdaBoost,0.4084590009425071,0.4065059548712185,0.4207095903785116,0.3973003054201519
PCA 8 Performa Ensemble SMOTE,GradientBoosting,0.6714184731385485,0.6488720757635067,0.6870960900400321,0.6575395431986658
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9542884071630536,0.9471380390845492,0.9482251263184974,0.9476577102956116
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9665409990574928,0.961077057497486,0.9609794058594152,0.9609930436485982
PCA 7 Performa Ensemble SMOTE,Bagging,0.9560556079170592,0.9484393250645148,0.9511101621489764,0.9497553398841644
PCA 7 Performa Ensemble SMOTE,AdaBoost,0.3898444863336475,0.3903467879112907,0.3995597507094671,0.3783854531674071
PCA 7 Performa Ensemble SMOTE,GradientBoosting,0.6530395852968898,0.6283245592510992,0.6656505912213188,0.6364749385595456
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9448633364750236,0.9367389570116736,0.936754141963036,0.936717571493676
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9592365692742696,0.953118493913417,0.9519625100650928,0.9525087996423258
PCA 6 Performa Ensemble SMOTE,Bagging,0.9541705937794532,0.9479670075722688,0.9477912009361388,0.94787737391079
PCA 6 Performa Ensemble SMOTE,AdaBoost,0.3865457115928369,0.3879603978663739,0.4015043041400857,0.3774645951091261
PCA 6 Performa Ensemble SMOTE,GradientBoosting,0.6354853911404336,0.61356095224609,0.6495340596642776,0.6209698094518932
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9479264844486334,0.9403866908101266,0.93909838459007,0.9397357098935164
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9628887841658812,0.956371020076284,0.9562090567643482,0.956258878598096
PCA 5 Performa Ensemble SMOTE,Bagging,0.9385014137606033,0.9300580169582041,0.931059940649819,0.9305173273639502
PCA 5 Performa Ensemble SMOTE,AdaBoost,0.37877002827521206,0.3733508542136007,0.3843017567330431,0.36738763234875027
PCA 5 Performa Ensemble SMOTE,GradientBoosting,0.6215834118755891,0.6034830768709185,0.6367078110889388,0.6088733388072818
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.930961357210179,0.919496381590015,0.9249397945819476,0.9221256272973773
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9476908576814326,0.9396827890331398,0.9400310934735732,0.9397977264221746
