Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa OversamplingSMOTE,Random Forest,0.985626767200754,0.9832215005425328,0.9827625041225134,0.982989242603342
Baseline Performa OversamplingSMOTE,KNN,0.9619462770970784,0.9508045834888584,0.9596344717299848,0.9550936020870718
Baseline Performa OversamplingSMOTE,Naive Bayes,0.3781809613572102,0.391168393686094,0.403850945043364,0.35664385486789
Baseline Performa OversamplingSMOTE,Decision Tree,0.9714891611687088,0.9673188991275048,0.967592193498661,0.96743951177318
Baseline Performa OversamplingSMOTE,Extra Trees,0.985626767200754,0.9830682725523076,0.9824454873025684,0.9827520194645082
normalization Performa OversamplingSMOTE,Random Forest,0.9851555136663523,0.9826613376419416,0.9821503346441416,0.9823990265659508
normalization Performa OversamplingSMOTE,KNN,0.9534637134778512,0.9396648883247092,0.9516358946721674,0.945408931760258
normalization Performa OversamplingSMOTE,Naive Bayes,0.3781809613572102,0.391168393686094,0.403850945043364,0.35664385486789
normalization Performa OversamplingSMOTE,Decision Tree,0.9705466540999056,0.9663779349602284,0.966553169503143,0.966453975300814
normalization Performa OversamplingSMOTE,Extra Trees,0.985626767200754,0.983052854044986,0.9827002625140288,0.982870789363426
pca 8 Performa OversamplingSMOTE,Random Forest,0.965951932139491,0.9600802110164884,0.9601600923893407,0.960084199226768
pca 8 Performa OversamplingSMOTE,KNN,0.943096135721018,0.9282893810554906,0.9417556224326412,0.9347088257637892
pca 8 Performa OversamplingSMOTE,Naive Bayes,0.4414467483506126,0.4410076113057286,0.471168418681443,0.4291009074319875
pca 8 Performa OversamplingSMOTE,Decision Tree,0.9311969839773798,0.9207286408809776,0.9266949792210256,0.9236413787381136
pca 8 Performa OversamplingSMOTE,Extra Trees,0.9690150801131008,0.9635508838933888,0.963670224742452,0.963585881212348
pca 7 Performa OversamplingSMOTE,Random Forest,0.9571159283694628,0.9506093924830596,0.9491961110647996,0.949875342496164
pca 7 Performa OversamplingSMOTE,KNN,0.9364985862393967,0.920522814233177,0.9353196639134224,0.9275385297340908
pca 7 Performa OversamplingSMOTE,Naive Bayes,0.418119698397738,0.4311112605884892,0.4620138864745852,0.4099390776918845
pca 7 Performa OversamplingSMOTE,Decision Tree,0.918119698397738,0.9050157546451534,0.912561647448694,0.908685756170846
pca 7 Performa OversamplingSMOTE,Extra Trees,0.9630065975494816,0.9567600012547682,0.9570850315808224,0.9569014537425516
pca 6 Performa OversamplingSMOTE,Random Forest,0.9598256361922716,0.9537146979997888,0.9537339219526008,0.9537169021871608
pca 6 Performa OversamplingSMOTE,KNN,0.9383836003770027,0.9229665719953812,0.9365192815576536,0.9294290452249754
pca 6 Performa OversamplingSMOTE,Naive Bayes,0.4144674835061263,0.423617953456327,0.4568347813097025,0.4054190108662383
pca 6 Performa OversamplingSMOTE,Decision Tree,0.9295475966069744,0.9192243321921796,0.9214136749505674,0.9203076098473112
pca 6 Performa OversamplingSMOTE,Extra Trees,0.9651272384542884,0.9590099698745762,0.9589117243687898,0.9589271107391438
pca 5 Performa OversamplingSMOTE,Random Forest,0.9453345900094251,0.9367237727485547,0.9393253798444692,0.937991274531794
pca 5 Performa OversamplingSMOTE,KNN,0.9175306314797361,0.899192010464261,0.9193262938035611,0.9084971952821036
pca 5 Performa OversamplingSMOTE,Naive Bayes,0.3791234684260132,0.3895297577577744,0.4172566201368754,0.3693102421694393
pca 5 Performa OversamplingSMOTE,Decision Tree,0.9086946277097078,0.8946419307265554,0.9031061993511988,0.8987328245153583
pca 5 Performa OversamplingSMOTE,Extra Trees,0.9542884071630537,0.9477756510190398,0.9464752617959078,0.9470996518676269
