Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble Random Over Sampling,Bagging,0.9816211121583412,0.9799426903803264,0.9778290477216638,0.9788565035367472
Baseline Performa Ensemble Random Over Sampling,AdaBoost,0.465951932139491,0.362181141469635,0.3688720176073747,0.3464119293217451
Baseline Performa Ensemble Random Over Sampling,GradientBoosting,0.8041941564561734,0.8165997612387569,0.7538929922992532,0.7780633671162989
Baseline Performa Ensemble Random Over Sampling,Voting (RF+ET+DT) soft,0.9811498586239396,0.9791288046774368,0.9772917988201804,0.9781977444226132
Baseline Performa Ensemble Random Over Sampling,Voting (RF+ET+DT) hard,0.9853911404335532,0.9836436814385072,0.9818594007320668,0.9827428666923564
Baseline Performa Ensemble random oversampling,Bagging,0.979382657869934,0.9762936312898568,0.9766382740025146,0.9764469161764752
Baseline Performa Ensemble random oversampling,AdaBoost,0.4310791705937794,0.4473005037784102,0.4691692714630008,0.4264876250317688
Baseline Performa Ensemble random oversampling,GradientBoosting,0.7586003770028276,0.733908906505343,0.7784698879656439,0.7475053637612906
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9810320452403392,0.9786518683093426,0.977397463828029,0.9780137351182454
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.986215834118756,0.984738031338894,0.9833307031614203,0.9840256717701752
Baseline Normalization Performa Ensemble random oversampling,Bagging,0.9789114043355324,0.975765055222694,0.9760671185157797,0.9759043712268788
Baseline Normalization Performa Ensemble random oversampling,AdaBoost,0.4310791705937794,0.4473005037784102,0.4691692714630008,0.4264876250317688
Baseline Normalization Performa Ensemble random oversampling,GradientBoosting,0.7586003770028276,0.733908906505343,0.7784698879656439,0.7475053637612906
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9800895381715364,0.9773206775634896,0.976294130084332,0.97680398951255
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9849198868991518,0.982841653030518,0.9818427317850766,0.982339137368009
PCA 8 Performa Ensemble random oversampling,Bagging,0.9605325164938736,0.9551474347577664,0.9547248257493944,0.954899920696807
PCA 8 Performa Ensemble random oversampling,AdaBoost,0.3861922714420358,0.3938906109698393,0.4187843323234734,0.3765415698657834
PCA 8 Performa Ensemble random oversampling,GradientBoosting,0.6677662582469368,0.6473404697077878,0.6874683884685313,0.6557165416402329
PCA 8 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9546418473138548,0.9501225230916808,0.9460806765765464,0.9480541051253892
PCA 8 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.967483506126296,0.9648396312848382,0.9603920366837458,0.962532921413238
PCA 7 Performa Ensemble random oversampling,Bagging,0.954406220546654,0.94815048440015,0.948278736998299,0.948188915015744
PCA 7 Performa Ensemble random oversampling,AdaBoost,0.3883129123468426,0.3936557566598579,0.4108946549171149,0.372946726592941
PCA 7 Performa Ensemble random oversampling,GradientBoosting,0.6424363807728558,0.6217300732203276,0.6601298677819748,0.6284338648952558
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9428605089538172,0.9377970888556116,0.932471723406087,0.934972645316055
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9605325164938736,0.9574476013410916,0.9515845273494534,0.9544083741441513
PCA 6 Performa Ensemble random oversampling,Bagging,0.9519321394910462,0.9459408742227412,0.9460975253344164,0.94599637338153
PCA 6 Performa Ensemble random oversampling,AdaBoost,0.3945570216776626,0.4053155715678533,0.4160284316835111,0.3891691683873406
PCA 6 Performa Ensemble random oversampling,GradientBoosting,0.6409048067860509,0.618899668840823,0.6518556614086515,0.6256782963541142
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9429783223374176,0.9380697562877094,0.9328251679691212,0.9354002299830706
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9615928369462772,0.9576144472303773,0.9536156701699716,0.9555604884946356
PCA 5 Performa Ensemble Random Oversampling,Bagging,0.9379123468426013,0.9291921604854707,0.9295857047683347,0.9293298671610077
PCA 5 Performa Ensemble Random Oversampling,AdaBoost,0.39479264844486334,0.39929081792322274,0.4184847026443414,0.3859189944537561
PCA 5 Performa Ensemble Random Oversampling,GradientBoosting,0.6163996229971724,0.6006798549755369,0.6314303025519521,0.6045473207663926
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT) soft,0.9276625824693685,0.9212199583281666,0.918031386365573,0.9194665779560041
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT) hard,0.9471017907634307,0.9433983612802098,0.9376476828799285,0.9403902560118965
