Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa randomoversampling,Random Forest,0.9863336475023564,0.984568959372275,0.9839935957377384,0.9842763251760472
Baseline Performa randomoversampling,KNN,0.9600612629594724,0.9484067677045968,0.957765424138849,0.9529034819294172
Baseline Performa randomoversampling,Naive Bayes,0.3793590951932139,0.3937227943532587,0.4058740631286331,0.3587272449445626
Baseline Performa randomoversampling,Decision Tree,0.9658341187558906,0.9608708463800588,0.9618016975596968,0.9613211847937156
Baseline Performa randomoversampling,Extra Trees,0.9866870876531574,0.9850866095293532,0.9834243838862952,0.9842437129657846
normalization Performa randomoversampling,Random Forest,0.9853911404335532,0.9834669891908224,0.982962701687802,0.9832116889321868
normalization Performa randomoversampling,KNN,0.9516965127238456,0.9373690160190844,0.9497477105995756,0.9432496743103264
normalization Performa randomoversampling,Naive Bayes,0.3793590951932139,0.3937227943532587,0.4058740631286331,0.3587272449445626
normalization Performa randomoversampling,Decision Tree,0.9653628652214892,0.960201080066431,0.961327735867196,0.9607561065281088
normalization Performa randomoversampling,Extra Trees,0.9860980207351556,0.9843187362404804,0.9827473576852478,0.9835284868686696
pca 8 Performa randomoversampling,Random Forest,0.9666588124410932,0.9632590807403438,0.9596509959455533,0.9614084378157342
pca 8 Performa randomoversampling,KNN,0.9413289349670122,0.9247057213570968,0.940450783901826,0.9320729501187814
pca 8 Performa randomoversampling,Naive Bayes,0.4409754948162111,0.44212042729057,0.4717269422693469,0.4290826290257333
pca 8 Performa randomoversampling,Decision Tree,0.9288407163053722,0.9210843292501864,0.9191013207385502,0.9200355089292452
pca 8 Performa randomoversampling,Extra Trees,0.9687794533459,0.9658986308209484,0.961187462775913,0.9634884204262284
pca 7 Performa randomoversampling,Random Forest,0.959943449575872,0.9554459369998451,0.95174502042241,0.953558485063097
pca 7 Performa randomoversampling,KNN,0.9359095193213948,0.9186885298314464,0.9360753741796544,0.9267651213709354
pca 7 Performa randomoversampling,Naive Bayes,0.4182375117813383,0.4313599121443744,0.4620177447104173,0.4103390941824661
pca 7 Performa randomoversampling,Decision Tree,0.9182375117813384,0.9097135722617796,0.9073241526517504,0.908400053296934
pca 7 Performa randomoversampling,Extra Trees,0.9613572101790764,0.9585504309804586,0.9523130174564804,0.9553284922266696
pca 6 Performa randomoversampling,Random Forest,0.9610037700282752,0.95687634128634,0.954096216302632,0.9554613277475592
pca 6 Performa randomoversampling,KNN,0.9407398680490104,0.9256882520347612,0.939847165494603,0.9323593426612836
pca 6 Performa randomoversampling,Naive Bayes,0.4148209236569274,0.4209790327498773,0.4554986423207657,0.4054348778155732
pca 6 Performa randomoversampling,Decision Tree,0.9188265786993404,0.9107421543432912,0.9092391724303608,0.9099704995085016
pca 6 Performa randomoversampling,Extra Trees,0.9630065975494816,0.9611243444609338,0.9545518961008994,0.9577516307421852
pca 5 Performa randomoversampling,Random Forest,0.9458058435438266,0.9401114076382301,0.9380823149378322,0.939057456499393
pca 5 Performa randomoversampling,KNN,0.922478793590952,0.9047713853801174,0.9250984542109,0.9140369112222284
pca 5 Performa randomoversampling,Naive Bayes,0.37735626767200753,0.38838243392709393,0.4122288072593915,0.3666172804447431
pca 5 Performa randomoversampling,Decision Tree,0.9026861451460886,0.8931254767452348,0.8924915406339764,0.8927134310979715
pca 5 Performa randomoversampling,Extra Trees,0.9508718190386428,0.9486411329468023,0.9406401157016753,0.9445137203200457
