Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble undersampling,Bagging,0.9816211121583412,0.9799426903803264,0.9778290477216638,0.9788565035367472
Baseline Performa Ensemble undersampling,AdaBoost,0.465951932139491,0.362181141469635,0.3688720176073747,0.3464119293217451
Baseline Performa Ensemble undersampling,GradientBoosting,0.8041941564561734,0.8165997612387569,0.7538929922992532,0.7780633671162989
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9811498586239396,0.9791288046774368,0.9772917988201804,0.9781977444226132
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9853911404335532,0.9836436814385072,0.9818594007320668,0.9827428666923564
Baseline normalisasi Performa Ensemble undersampling,Bagging,0.96559849198869,0.9578358875267148,0.9688658398237446,0.963158524414202
Baseline normalisasi Performa Ensemble undersampling,AdaBoost,0.4488689915174363,0.454779616914589,0.4773555556999267,0.4337959862223005
Baseline normalisasi Performa Ensemble undersampling,GradientBoosting,0.7542412818096136,0.7292318354884213,0.775541324524022,0.7435963411037158
Baseline normalisasi Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9643025447690856,0.9555736618114216,0.9670153140313984,0.9610855550942444
Baseline normalisasi Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9730207351555136,0.9668024534549154,0.9738257002390822,0.970222888592168
PCA 8 Performa Ensemble undersampling,Bagging,0.9317860508953816,0.9168671041892402,0.9378725704009506,0.926523641618452
PCA 8 Performa Ensemble undersampling,AdaBoost,0.4008011310084826,0.3991023258185684,0.4135573178251723,0.3884047871416607
PCA 8 Performa Ensemble undersampling,GradientBoosting,0.6727144203581527,0.6490340203947487,0.6863279784364019,0.6579284079207824
PCA 8 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9072808671065034,0.8906622395978319,0.9149658795899022,0.901677648263824
PCA 8 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9395617342130066,0.9261153611232864,0.94312455561709,0.9341118823807916
PCA 7 Performa Ensemble undersampling,Bagging,0.9195334590009424,0.9033704168738282,0.9273620945843069,0.9142432271344146
PCA 7 Performa Ensemble undersampling,AdaBoost,0.3795947219604147,0.4017067669124364,0.425866225341654,0.3822037424746533
PCA 7 Performa Ensemble undersampling,GradientBoosting,0.6464420358152686,0.6220686356984151,0.6583135542005897,0.6298471986947768
PCA 7 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9016258246936852,0.8832998798184694,0.90880822341588,0.894728372193519
PCA 7 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.931550424128181,0.916538249167219,0.9355212583328556,0.9253290705740322
PCA 6 Performa Ensemble undersampling,Bagging,0.9198868991517436,0.9044594519692378,0.9269352752778268,0.9147197955221238
PCA 6 Performa Ensemble undersampling,AdaBoost,0.3782987747408105,0.4098398218104632,0.4211698704601244,0.3755088156167239
PCA 6 Performa Ensemble undersampling,GradientBoosting,0.634071630537229,0.6127665288488655,0.6480151753106307,0.6198831523068786
PCA 6 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9008011310084826,0.882656673150561,0.9081156766559684,0.8940174578726972
PCA 6 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9301366635249764,0.915853003455163,0.935194177644677,0.9248223716158024
PCA 5 Performa Ensemble undersampling,Bagging,0.8970311027332705,0.8788774649108427,0.9091738424043557,0.8922168798485115
PCA 5 Performa Ensemble undersampling,AdaBoost,0.37994816211121585,0.39099141451231456,0.41318964047982226,0.37775252054539604
PCA 5 Performa Ensemble undersampling,GradientBoosting,0.6132186616399623,0.5966234842760335,0.6264111599313603,0.5996839731811938
PCA 5 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.8787700282752121,0.8602346396838799,0.8909035919695508,0.8736514814384538
PCA 5 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9077521206409048,0.8918291466661588,0.916126939695687,0.9028457348773891
