Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa undersampling,Random Forest,0.97184260131951,0.9652729676696716,0.973208186556326,0.969117541622876
Baseline Performa undersampling,KNN,0.9236569274269556,0.903247563143089,0.928326378853458,0.9144496113119898
Baseline Performa undersampling,Naive Bayes,0.3782987747408105,0.3951391303886253,0.4085459640526422,0.3614013668802878
Baseline Performa undersampling,Decision Tree,0.9399151743638078,0.9281945753356414,0.945554503415895,0.9363635299663396
Baseline Performa undersampling,Extra Trees,0.976908576814326,0.9713868967717544,0.9773929589092882,0.9743204134085062
normalization Performa undersampling,Random Forest,0.9714891611687088,0.964814565402854,0.97210502351926,0.9683511845232946
normalization Performa undersampling,KNN,0.909990574929312,0.8871950266905912,0.9143379131199848,0.8991780757257402
normalization Performa undersampling,Naive Bayes,0.3782987747408105,0.3951391303886253,0.4085459640526422,0.3614013668802878
normalization Performa undersampling,Decision Tree,0.9395617342130066,0.92784762937349,0.9453556018044368,0.9360786980152408
normalization Performa undersampling,Extra Trees,0.976555136663525,0.97101826791211,0.9771090184932,0.9739904674539512
pca 8 Performa undersampling,Random Forest,0.9356738925541942,0.9216304188136112,0.9397800532935168,0.9300371838933084
pca 8 Performa undersampling,KNN,0.8979736098020735,0.874123475299957,0.902916684564146,0.8867078322561402
pca 8 Performa undersampling,Naive Bayes,0.4428605089538172,0.4445432886904262,0.474732059555765,0.4316047581540091
pca 8 Performa undersampling,Decision Tree,0.8713477851083883,0.8522244824494676,0.8805700722271096,0.8646678013754675
pca 8 Performa undersampling,Extra Trees,0.9466305372290292,0.9338233071321697,0.948998045361916,0.9409868761723889
pca 7 Performa undersampling,Random Forest,0.9240103675777568,0.9086594741277764,0.9292665084631736,0.9181025470985964
pca 7 Performa undersampling,KNN,0.8894910461828464,0.8653646095917562,0.8945783248680692,0.8779921753286659
pca 7 Performa undersampling,Naive Bayes,0.420947219604147,0.4347219336193401,0.4666510728231767,0.4141039445590614
pca 7 Performa undersampling,Decision Tree,0.866870876531574,0.8464722309141909,0.8782481849524313,0.8601241913641123
pca 7 Performa undersampling,Extra Trees,0.9373232799245994,0.9241444113166886,0.9394167028286082,0.931326404017371
pca 6 Performa undersampling,Random Forest,0.9268378887841658,0.9128131537535656,0.9327152562037068,0.9219579958249008
pca 6 Performa undersampling,KNN,0.8947926484448633,0.8715727169475274,0.9002377577844806,0.884039510051702
pca 6 Performa undersampling,Naive Bayes,0.4127002827521206,0.4223647900412935,0.4552528761801193,0.404075102581901
pca 6 Performa undersampling,Decision Tree,0.8641611687087654,0.842730117895821,0.8773435442934673,0.8572522736112191
pca 6 Performa undersampling,Extra Trees,0.9386192271442036,0.9252969364394226,0.9415441658143952,0.9329391366911488
pca 5 Performa undersampling,Random Forest,0.9045711592836946,0.8881058843059975,0.9132942182592266,0.8994494842876607
pca 5 Performa undersampling,KNN,0.8622761545711592,0.8371125869397374,0.8731079050996012,0.851931766859274
pca 5 Performa undersampling,Naive Bayes,0.37971253534401506,0.3915572168286786,0.41749429558724865,0.37108163619019824
pca 5 Performa undersampling,Decision Tree,0.842836946277097,0.8222733263310358,0.8582566857434848,0.837268016642766
pca 5 Performa undersampling,Extra Trees,0.9149387370405277,0.8992392357591328,0.9223469320945213,0.9097989940774742
