Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble undersampling,Bagging,0.979971724787936,0.9785264851218164,0.976246594354605,0.97737002601092
Baseline Performa Ensemble undersampling,AdaBoost,0.4925777568331762,0.4867210242958251,0.3841915765793527,0.3763063807824851
Baseline Performa Ensemble undersampling,GradientBoosting,0.7986569274269557,0.812470531675331,0.746588680401571,0.7718588161356841
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9798539114043356,0.9774562602873406,0.975584624014902,0.9765007611892024
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9824458058435438,0.9808764450547102,0.9784243027014048,0.9796301859731849
Baseline Normalization Performa Ensemble Imbalance,Bagging,0.9797360980207352,0.978009930659478,0.9760244475253737,0.976997461017822
Baseline Normalization Performa Ensemble Imbalance,AdaBoost,0.4925777568331762,0.4867210242958251,0.3841915765793527,0.3763063807824851
Baseline Normalization Performa Ensemble Imbalance,GradientBoosting,0.7986569274269557,0.812470531675331,0.746588680401571,0.7718588161356841
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9796182846371349,0.9771748442186542,0.9753531685131028,0.9762425021188432
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.981856738925542,0.979816604117097,0.977715137489023,0.9787464038809744
PCA 8 Performa Ensemble Imbalance,Bagging,0.9566446748350612,0.9525589347850578,0.948621033092674,0.950555110417212
PCA 8 Performa Ensemble Imbalance,AdaBoost,0.4718426013195099,0.4350174865153919,0.3466337249908952,0.3397683033338324
PCA 8 Performa Ensemble Imbalance,GradientBoosting,0.6976908576814326,0.719537191568201,0.6262513738327741,0.6546890666854681
PCA 8 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9447455230914232,0.938777447541582,0.9358585571774308,0.9372692974148544
PCA 8 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.965009425070688,0.9616373676703756,0.9563149167585868,0.958912286861834
PCA 7 Performa Ensemble Imbalance,Bagging,0.9480442978322338,0.943925388982224,0.9394532699874488,0.9416346321439684
PCA 7 Performa Ensemble Imbalance,AdaBoost,0.456880301602262,0.4241068438178669,0.3222563125554238,0.300709896710723
PCA 7 Performa Ensemble Imbalance,GradientBoosting,0.6758953817153629,0.6932764737249482,0.6012665261797959,0.6287040990299078
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9367342130065976,0.9316178700954298,0.9258078376333808,0.9286590813248184
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9545240339302544,0.9526753526620916,0.9446115327672904,0.9484970252538808
PCA 6 Performa Ensemble Imbalance,Bagging,0.9460414703110274,0.9426285837322944,0.9369954721894158,0.93975205349517
PCA 6 Performa Ensemble Imbalance,AdaBoost,0.4401508011310084,0.3655773498650442,0.3117572310224125,0.2875754832577866
PCA 6 Performa Ensemble Imbalance,GradientBoosting,0.6561027332704995,0.6720584990618933,0.583434383664216,0.6088410378824027
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9418001885014138,0.9364292191004476,0.9324784825749098,0.9344228820314532
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9579406220546656,0.9561023205310172,0.9492334153962448,0.952574594094472
PCA 5 Performa Ensemble Imbalance,Bagging,0.9344957587181904,0.9298648845001779,0.924734899843601,0.9272349561146893
PCA 5 Performa Ensemble Imbalance,AdaBoost,0.42601319509896324,0.3682988841788869,0.2751335153274707,0.24116385273849347
PCA 5 Performa Ensemble Imbalance,GradientBoosting,0.6350141376060321,0.6535884309170031,0.5541327712685132,0.5798410705319275
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9238925541941565,0.9158495363002392,0.9121583782034396,0.9139685763292235
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9454524033930255,0.9424414134774391,0.9352435275227791,0.9386983581715345
