Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa imbalance,Random Forest,0.9819745523091424,0.9804984407210464,0.9782172263920892,0.9793389900132136
Baseline Performa imbalance,KNN,0.9519321394910462,0.9424834886067752,0.941261503017912,0.9418368213730742
Baseline Performa imbalance,Naive Bayes,0.4104618284637135,0.348780409757578,0.3688635059116265,0.3405192896226164
Baseline Performa imbalance,Decision Tree,0.970664467483506,0.9676589412304206,0.9657184904324896,0.9666533673339912
Baseline Performa imbalance,Extra Trees,0.9833883129123469,0.9821024644911364,0.979577935442158,0.980829154244054
normalization Performa imbalance,Random Forest,0.9811498586239396,0.9792921794098424,0.9771250317502448,0.9781852201369756
normalization Performa imbalance,KNN,0.9426248821866164,0.9328313691493818,0.9312526475825964,0.9319825381601716
normalization Performa imbalance,Naive Bayes,0.4104618284637135,0.348780409757578,0.3688635059116265,0.3405192896226164
normalization Performa imbalance,Decision Tree,0.970311027332705,0.9672220056204188,0.965274495079468,0.9662109903163528
normalization Performa imbalance,Extra Trees,0.9836239396795476,0.9824106760876749,0.979894435840621,0.981140603242772
pca 8 Performa imbalance,Random Forest,0.963713477851084,0.960972274003981,0.954306163566773,0.9575596447568276
pca 8 Performa imbalance,KNN,0.9302544769085768,0.919317078132444,0.9166547223830496,0.9178901784138784
pca 8 Performa imbalance,Naive Bayes,0.4857445805843544,0.434512287391138,0.3928452852152909,0.3796778580670872
pca 8 Performa imbalance,Decision Tree,0.9204759660697456,0.9094529421336988,0.913452558336853,0.91138693423017
pca 8 Performa imbalance,Extra Trees,0.965951932139491,0.9633906257785328,0.9572313570201924,0.9602504611412296
pca 7 Performa imbalance,Random Forest,0.9507540056550424,0.9487707763418692,0.9400225512624658,0.9442631597306744
pca 7 Performa imbalance,KNN,0.9238925541941564,0.9117353457825664,0.9087326805825424,0.9101480680093764
pca 7 Performa imbalance,Naive Bayes,0.4654806786050895,0.416831808363706,0.3600113774202179,0.3483785527112409
pca 7 Performa imbalance,Decision Tree,0.91564561734213,0.9073009343008188,0.9053984640049976,0.9063341422447936
pca 7 Performa imbalance,Extra Trees,0.9579406220546656,0.9563488289233244,0.948681840671486,0.9523961980987496
pca 6 Performa imbalance,Random Forest,0.9533459000942508,0.9519402825932792,0.9439684112957156,0.9478504911609256
pca 6 Performa imbalance,KNN,0.9280160226201696,0.9165750329210256,0.9148903957829294,0.915658312795979
pca 6 Performa imbalance,Naive Bayes,0.4547596606974552,0.4023379600984295,0.3457507895442111,0.3260994526230503
pca 6 Performa imbalance,Decision Tree,0.9159990574929312,0.9047853275164798,0.908486894263244,0.9066106042312434
pca 6 Performa imbalance,Extra Trees,0.9582940622054664,0.956550187543638,0.947827145266498,0.9520630974382788
pca 5 Performa imbalance,Random Forest,0.9397973609802074,0.9374563348877464,0.9286308666959385,0.9328649802293182
pca 5 Performa imbalance,KNN,0.9097549481621112,0.898171335355937,0.895707755232044,0.8967111546998495
pca 5 Performa imbalance,Naive Bayes,0.44592365692742697,0.4860451052702282,0.3318290014692943,0.3157578035067004
pca 5 Performa imbalance,Decision Tree,0.897502356267672,0.8849158876098129,0.8869321405473828,0.885904177715555
pca 5 Performa imbalance,Extra Trees,0.9482799245994344,0.9461162608395934,0.9379729392489056,0.9418939954403438
